Frequency,Gain,Phase Shift
0.01,202.15470236408942,83.01585493650497
0.010722672220103232,219.21006690677717,82.92683427013556
0.011497569953977356,237.9679146708574,82.79323744586901
0.012328467394420659,258.6253096317622,82.58161727563842
0.013219411484660288,267.1628036928076,641.7362101924516
0.014174741629268055,287.9399958244451,77.30883179481661
0.01519911082952934,310.4409263634473,76.22505434940278
0.016297508346206444,337.60949463282236,75.01042247213866
0.01747528400007684,364.9074930769137,73.66269959760183
0.01873817422860384,394.226717385853,72.15788588115387
0.02009233002565047,430.2871580832881,70.4768136307108
0.021544346900318846,463.8918066364391,68.59561632183136
0.023101297000831605,499.9432371944797,66.48477053976185
0.024770763559917114,537.2324113298571,64.15056136994674
0.026560877829466867,570.9017222797795,60.751301895658834
0.02848035868435802,613.753242356094,57.78219209130593
0.030538555088334154,661.6903719650934,54.469104830137276
0.03274549162877728,706.5982680134434,50.88196006327666
0.03511191734215131,751.1228159528083,46.954587498569886
0.037649358067924674,786.4175902649137,42.689985016457435
0.040370172585965536,817.2442064232522,37.86447310598351
0.04328761281083057,857.0318888236892,33.03623095650343
0.046415888336127795,889.2173200769784,27.977250982192054
0.049770235643321115,896.6008458279564,22.84151182634833
0.0533669923120631,892.3103551460783,17.4289095212936
0.05722367659350217,899.1753931993517,12.262245087289351
0.06135907273413173,885.5399378788397,7.242168759154313
0.06579332246575682,847.1446808884036,2.487988600304425
0.07054802310718646,821.6995493228868,-2.0614730282868914
0.07564633275546291,776.359886995698,-6.024559687517002
0.08111308307896872,723.0276964362542,-9.62019526009787
0.08697490026177834,675.6459029725761,-12.408403824342278
0.093260334688322,610.8526613587173,-14.53411212024148
0.1,556.2837943626464,-15.527156248045518
0.10722672220103231,492.5874427130662,-15.11335103752678
0.11497569953977356,433.9231375218653,-12.450606204065183
0.12328467394420659,385.4538566582439,-6.710506920867352
0.13219411484660293,350.61447769638613,3.1811492400153294
0.14174741629268056,351.8222665853184,16.40548799511798
0.1519911082952934,406.70785500128494,28.215374853429196
0.16297508346206444,512.3414120127618,33.709401857888366
0.17475284000076838,645.3948794460949,31.84006860410142
0.1873817422860384,762.6656855237076,24.585859048927805
0.20092330025650468,821.5993116905715,15.19591538590946
0.21544346900318845,812.9936816333703,6.295440763745425
0.23101297000831605,764.2213661604288,-0.5294427277698694
0.24770763559917114,700.5049404934813,-4.399706642629925
0.26560877829466867,616.7898942442358,-4.565478599373323
0.2848035868435802,562.4355446170803,0.3263608703280536
0.30538555088334157,569.0901081734846,10.3234088820375
0.32745491628777285,701.4407534536479,14.258956359915118
0.3511191734215131,825.6996689503501,5.431764620657955
0.37649358067924676,801.0374755908086,-4.961443432938861
0.4037017258596556,709.178719139608,-9.25216202956304
0.43287612810830595,643.4650613788144,-7.192572805844478
0.464158883361278,662.024353391973,-2.3934910536088996
0.49770235643321115,721.9967162390958,-3.9922742268286604
0.533669923120631,720.0927544294522,-9.173110274363589
0.5722367659350217,681.0629242711586,-12.1310980810083
0.6135907273413173,655.7738215068164,-11.249970888006137
0.6579332246575682,661.4079998865734,-10.555103152806131
0.7054802310718645,671.4275874573507,-13.33894312420889
0.7564633275546291,641.9596849340347,-15.169754608856897
0.8111308307896873,632.4292990917182,-14.40705570352876
0.8697490026177834,638.0190126815522,-16.444872538284095
0.9326033468832199,618.301529935874,-17.633297792939736
1.0,614.221972111119,-17.76169164905565
1.072267222010323,606.7438613950223,-19.659643626050386
1.1497569953977356,594.0358957366608,-19.762866990580548
1.232846739442066,593.6799283588039,-21.191074486949322
1.3219411484660286,579.2001201864999,-22.72249457153498
1.4174741629268048,578.7735010066174,-23.552433260319752
1.5199110829529332,568.0809448131995,-24.383657280743776
1.629750834620645,558.4963653817593,-26.145796454869636
1.7475284000076847,550.4783247866251,-27.034020512914434
1.873817422860385,539.7870448215305,-27.91407577607402
2.0092330025650478,532.7960810877526,-28.780142776343837
2.1544346900318843,517.9631286789605,-30.860003743850676
2.31012970008316,512.7526319313577,-31.76656366622226
2.4770763559917115,501.27871479934174,-34.06224497519421
2.656087782946687,487.23480048936705,-35.00200259518827
2.848035868435802,476.98508682036123,-35.89969573590965
3.0538555088334154,468.4583365680448,-36.744336698771974
3.2745491628777286,452.36563001430045,-41.27592630501239
3.511191734215131,439.81292520274616,-42.24705816067425
3.7649358067924674,426.8018918560471,-43.14298637338779
4.037017258596554,415.21453139525244,-46.260810147808606
4.328761281083057,399.571489514405,-47.123752865882935
4.641588833612782,386.3229782412495,-50.529255576201344
4.9770235643321135,373.60879129795325,-51.329240059211756
5.336699231206313,356.32470365678216,-51.98095822140645
5.72236765935022,342.6375143926743,-52.45880251247591
6.135907273413176,328.35699986997287,-56.24985444002072
6.5793322465756825,311.84411915822415,-56.545195461458356
7.054802310718645,297.9246609682668,-60.63155965548869
7.56463327554629,283.0067950144238,-60.679018435417724
8.111308307896872,268.61119875821424,-60.41668520834386
8.697490026177835,254.74565056723986,-64.78283121142306
9.326033468832199,240.8654036811024,-64.12108288342274
10.0,226.67660467585964,-63.025357464398375
